Date,Open,High,Low,Close,Adj Close,Volume,Group
15/04/2014,18.581072,18.629999,18.261786,18.498571,16.467918,266490000,5
16/04/2014,18.501785,18.610357,18.362143,18.536072,16.501303,214765600,5
17/04/2014,18.571428,18.848572,18.542856,18.747858,16.689842,284334400,5
21/04/2014,18.762142,19.004999,18.712856,18.970358,16.887915,182548800,5
22/04/2014,18.868214,18.993929,18.803572,18.989286,16.904764,202563200,5
23/04/2014,18.895,18.968929,18.730356,18.741072,16.683798,394940000,5
24/04/2014,20.293215,20.357143,20.026072,20.2775,18.051567,759911600,5
25/04/2014,20.161785,20.428215,20.141428,20.426428,18.184147,390275200,5
28/04/2014,20.457144,21.276785,20.448214,21.217501,18.888384,669485600,5
29/04/2014,21.205,21.285,21.053928,21.154642,18.832424,337377600,5
30/04/2014,21.165714,21.408215,21.064285,21.074642,18.761208,456640800,5
01/05/2014,21.142857,21.242857,20.941429,21.124287,18.805397,244048000,5
02/05/2014,21.155001,21.221428,21.061071,21.163572,18.84037,191514400,5
05/05/2014,21.076429,21.464285,21.071428,21.462856,19.106802,287067200,5
06/05/2014,21.492857,21.586071,21.22893,21.22893,18.898554,374564400,5
07/05/2014,21.258928,21.331785,20.990356,21.154642,18.832424,282864400,5
08/05/2014,21.008928,21.22893,20.942858,20.999643,18.798855,230297200,5
09/05/2014,20.876429,20.9375,20.726072,20.912144,18.720524,291597600,5
